wavelength,x.cmf,y.cmf,z.cmf,illuminant.SPD,unk.SRD1,unk.SRD2,unk.SRD3
647,0.3285168,0.1250248,5.40E-06,0.811285,0.445,0.035978024,0.048978027
648,0.3130192,0.1187792,3.20E-06,0.807613,0.445,0.036002098,0.049000029
649,0.2980011,0.1127691,1.33E-06,0.80394,0.445,0.037075016,0.049000011
650,0.2835,0.107,0,0.800268,0.445,0.037028311,0.048992435
651,0.2695448,0.1014762,-1.06E-22,0.800456,0.445,0.038006964,0.049981732
652,0.2561184,0.09618864,0,0.800644,0.445,0.039065858,0.050000024
653,0.2431896,0.09112296,-6.62E-24,0.800831,0.44500001,0.039735439,0.050000143
654,0.2307272,0.08626485,0,0.801019,0.444992618,0.040743954,0.049897179
655,0.2187,0.0816,0,0.801207,0.445983204,0.042055587,0.050998794
656,0.2070971,0.07712064,0,0.801395,0.446000023,0.043010927,0.051000002
657,0.1959232,0.07282552,0,0.801583,0.446,0.043903643,0.050999997
658,0.1851708,0.06871008,0,0.80177,0.446,0.046092165,0.051001989
659,0.1748323,0.06476976,0,0.801958,0.446,0.048096759,0.052064936
660,0.1649,0.061,0,0.802146,0.44600001,0.049754286,0.051999907
661,0.1553667,0.05739621,0,0.804209,0.445992893,0.052106404,0.052
662,0.14623,0.05395504,0,0.806272,0.446328556,0.053963236,0.052
663,0.13749,0.05067376,-1.26E-29,0.808336,0.445918211,0.056533479,0.052
664,0.1291467,0.04754965,0,0.810399,0.446998419,0.059646539,0.052
665,0.1212,0.04458,0,0.812462,0.447000002,0.062490019,0.052
666,0.1136397,0.04175872,0,0.814525,0.447,0.065986796,0.052
667,0.106465,0.03908496,0,0.816588,0.447000146,0.069584316,0.052
668,0.09969044,0.03656384,0,0.818652,0.446896196,0.073548968,0.052
669,0.09333061,0.03420048,6.16E-33,0.820715,0.447998052,0.077391223,0.052
670,0.0874,0.032,0,0.822778,0.448000012,0.082460576,0.051999999
671,0.08190096,0.02996261,-3.85E-34,0.818784,0.447993511,0.087425789,0.052000463
672,0.07680428,0.02807664,0,0.814791,0.448970933,0.092407695,0.051633445
673,0.07207712,0.02632936,0,0.810797,0.448999651,0.098373869,0.050999448
674,0.06768664,0.02470805,0,0.806804,0.449273169,0.104245153,0.051
675,0.0636,0.0232,0,0.80281,0.450000513,0.11047734,0.051000285
676,0.05980685,0.02180077,0,0.798816,0.449996767,0.117363484,0.050822348
677,0.05628216,0.02050112,0,0.794823,0.450979546,0.124282488,0.049999607
678,0.05297104,0.01928108,0,0.790829,0.451006039,0.132268705,0.050000009
679,0.04981861,0.01812069,0,0.786836,0.452002448,0.140139385,0.049997045
680,0.04677,0.017,0,0.782842,0.451999157,0.148006925,0.048999777
681,0.04378405,0.01590379,0,0.774279,0.452998476,0.156872973,0.048999996
682,0.04087536,0.01483718,0,0.765716,0.453993713,0.165755769,0.049000022
683,0.03807264,0.01381068,0,0.757153,0.454860502,0.174651367,0.04897876
684,0.03540461,0.01283478,0,0.74859,0.455798671,0.184528375,0.047996351
685,0.0329,0.01192,2.87E-42,0.740027,0.455896929,0.193668068,0.048000006
686,0.03056419,0.01106831,0,0.731465,0.457027338,0.203153787,0.047999999
